ID,BoxLocation,Dialogue_KO,Dialogue_EN,Type,SFX,IdToGet,IdPoint,NextID,Fuction,,,
1,Player,요즘 뱀파이어들은 피를 컵에 담아 마시는군요.,,Normal,,,,2,,,,
2,Guest,그럼요. 요즘 누가 피를 맨입으로 직접 빨아 마시나요.,,Normal,,,,3,,,,
3,Guest,품위있는 뱀파이어라면 누구나 컵에 따라 마시는 걸요.,,Normal,,,,4,,,,
4,Guest,물론 여전히 피는 직접 빨아 마셔야 제맛이라는 뱀파이어들도 있긴 하지만…,,Normal,,,,5,,,,
5,Guest,저 같은 귀족 뱀파이어들은 대부분 도구를 사용하지요.,,Normal,,,,6,,,,
6,Player,귀족이셨군요.,,Normal,,,,7,,,,
7,Guest,"하하, 딱 봐도 귀족처럼 생기지 않았나요?",,Normal,,,,8,,,,
8,Player,네. 처음 보자마자 바로 알았습니다.,,Branch,,,,9,,,,
,Player,전혀요.,,Branch,,,,21,,,,
9,Guest,보는 눈이 있으시군요. 혹시 당신도 귀족?,,Normal,,,,10,,,,
10,Player,그건 아닐 걸요.,,Normal,,,,11,,,,
11,Guest,그럼 귀족 가문의 시종?,,Normal,,,,12,,,,
12,Player,그것도 아닐 걸요?,,Normal,,,,13,,,,
13,Player,여기서 시종 비슷한 일을 하고 있기는 하지만...,,Normal,,,,14,,,,
14,Guest,"음, 그렇군요!",,Normal,,,,15,,,,
15,Guest,그럼 시종으로서 저에게 신선한 피 한 컵을 대령해주시겠습니까?,,Normal,,,,16,,,,
16,Player,방금 한 컵 다 마시지 않았나요?,,Normal,,,,17,,,,
17,Guest,"후후, 귀족은 원래 욕심이 많은 법이니까요.",,Normal,,4,2,18,,,,
18,Player,...안타깝게도 저희 열차에서 피는 따로 제공하고 있지 않습니다.,,Normal,,,,19,,,,
19,Guest,이럴 수가! 저희 가문의 시종들이었다면 엄벌을 내렸을 겁니다.,,Normal,,,,20,,,,
20,Player,그러니까 저는 시종이 아니라니까요…,,Normal,,,,,End,,,
21,Guest,"하하, 그것 참 재밌는 농담이군요.",,Normal,,,,22,,,,
22,Player,농담 아닙니다만.,,Normal,,,,23,,,,
23,Guest,…...,,Normal,,,,24,,,,
24,Player,…...,,Normal,,,,25,,,,
25,Player,농담이 아니라는 것까지가 농담이었습니다.,,Normal,,,,26,,,,
26,Guest,역시 그렇죠? ,,Normal,,,,27,,,,
27,Guest,감추고 있어도 비집고 드러나는 품위…,,Normal,,,,28,,,,
28,Guest,그것이 귀족이니까요!,,Normal,,1,2,29,,,,
29,Player,(귀족이라는 것에 꽤나 자부심이 있는 건가…),,Normal,,,,30,End,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
